CV_CCT|CV_TURNO|TURNO|NOMBRECT|CV_ENT_ADMINISTRATIVA|ENT_ADMINISTRATIVA|CV_ENT_INMUEBLE|ENTIDAD_INMUEBLE|CV_MUN|C_NOM_MUN|CV_LOC|C_NOM_LOC|C_NOM_AMBITO|C_NOM_TIPO_ASEN|CV_ASEN|C_NOM_ASEN|C_NOM_VIALIDAD|N_EXTNUM|CV_CODIGO_POSTAL|LATITUD|LONGITUD|CONTROL|SUBCONTROL|CV_SERVICION1|TIPO|CV_SERVICION2|NIVEL|CV_SERVICION3|SUBNIVEL|CV_CARACTERIZAN1|C_CARACTERIZAN1|CV_CARACTERIZAN2|C_CARACTERIZAN2|ZONA|JEFSEC|SERVREG|CV_ESTATUS_CAPTURA|V1|V2|V3|V4|V5|V6|V7|V8|V9|V10|V11|V12|V13|V14|V15|V16|V17|V18|V19|V20|V21|V22|V23|V24|V25|V26|V27|V28|V29|V30|V31|V32|V33|V34|V35|V36|V37|V38|V39|V40|V41|V42|V43|V44|V45|V46|V47|V48|V49|V50|V51|V52|V53|V54|V55|V56|V57|V58|V59|V60|V61|V62|E63|E64|E65|E66|E67|E68|E69|E70|V71|V72|V73|V74|V75|V76|V77|V78|V79|V80|V81|V82|V83|V84|V85|V86|V87|V88|V89|V90|V91|V92|V93|V94|V95|V96|V97|V98|V99|V100|V101|V102|V103|V104|V105|V106|V107|V108|V109|V110|V111|V112|V113|V114|V115|V116|V117|V118|V119|V120|V121|V122|V123|V124|V125|V126|V127|V128|V129|V130|V131|V132|V133|V134|V135|V136|V137|V138|V139|V140|V141|V142|V143|V144|V145|V146|V147|V148|V149|V150|V151|V152|V153|V154|V155|V156|V157|V158|V159|V160|V161|V162|V163|V164|V165|V166|V167|V168|V169|V170|V171|V172|V173|V174|V175|V176|V177|V178|V179|V180|V181|V182|V183|V184|V185|V186|V187|V188|V189|V190|V191|V192|V193|V194|V195|V196|V197|V198|V199|V200|V201|V202|V203|V204|V205|V206|V207|V208|V209|V210|V211|V212|V213|V214|V215|V216|V217|V218|V219|V220|V221|V222|V223|V224|V225|V226|E227|V228|V229|V230|E231|V232|V233|V234|E235|V236|V237|V238|V239|V240|V241|V242|V296|V297|V243|V244|V245|V246|V247|V248|V249|V250|V251|V252|V253|V254|V255|V256|V257|V258|V259|V260|V261|V262|V263|V264|V265|V266|V267|E268|E269|E270|V271|V272|V273|V274|V275|V276|V277|V278|V279|V280|V281|V282|V283|V284|V285|V286|V287|V288|V289|V290|V291|V292|V293|V294|V295|FECHA_ENTREGA|C_OBSERVACION|
04FEI0001C|5|CONTINUO|RESPONSABLE DE SECTOR NUM 12|04|CAMPECHE|04|CAMPECHE|007|PALIZADA|0001|PALIZADA|URBANO|CIUDAD|0005|CENTRO|CALLE IGNACIO RAMIREZ|78|24200|18.253600|-92.090900|PÚBLICO|FEDERAL TRANSFERIDO|1|INICIAL|1|INICIAL|3|INICIAL NO ESCOLARIZADA|1|SERVICIOS|16|ATENCIÓN A PADRES|||04ADG0003I|0|6|6|12|0|0|0|0|0|0|10|13|23|0|0|0|0|0|0|10|10|20|0|0|0|0|0|0|9|3|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|35|32|67|0|0|0|0|0|0|0|67|67|10|67|67|67|20|PALIZADA|EL CUYO|PALIZADA|SAN AGUSTÍN (LA REBEZA)|PALIZADA|EL JUNCAL|PALIZADA|ALAMILLA|2|1|1|0|1|0|3|0|0|0|7|1|0|1|1|2|1|3|1|0|0|0|3|6|2|0|7|3|4|4|2|2|0|0|15|9|0|0|3|3|4|5|3|2|0|0|10|10|4|2|12|8|10|12|9|4|0|0|35|26|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|9|24|20|61|0|1|0|2|0|3|1|2|1|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|2|0|0|0|0|0|0|0|0|0|0|0|0|SECUNDARIA TERMINADA|1|2|3|PROF. TECNICO|0|2|2|BACHILLERATO TERMINADO|0|2|2|1|6|7|9|0|1|0|0|8|0|0|0|0|9|0|0|0|0|24|0|0|0|0|20|0|0|0|0|61|0|0||||0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|4|0|0|0|17/10/2025|SOLO SE REPORTAN 4 LOCALIDADES YA QUE EL PROGRAMA SOLO CUATRO PERMITE,LAS DEMAS LOCALIDADES ESTAN AGRUPADAS DENTRO DELAS REPORTADAS. NO SE REPORTAN 11 EMBARAZADAS YA QUE EL PROGRAMA NO TIENE ESE RUBRO|
04FEI0002B|5|CONTINUO|RESPONSABLE DE SECTOR NUM 06|04|CAMPECHE|04|CAMPECHE|001|CALKINÍ|0001|CALKINÍ|URBANO|MANZANA|0020|NINGUNO|CALLE 11|81|00000|20.371200|-90.050700|PÚBLICO|FEDERAL TRANSFERIDO|1|INICIAL|1|INICIAL|3|INICIAL NO ESCOLARIZADA|1|SERVICIOS|16|ATENCIÓN A PADRES|||04ADG0001K|0|3|4|7|0|0|0|0|0|0|13|12|25|0|0|0|0|0|0|16|24|40|0|0|0|0|0|0|9|10|19|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|41|50|91|0|0|0|0|0|0|0|94|94|0|0|0|0|9|CALKINÍ|BÉCAL|DZITBALCHÉ|DZITBALCHÉ|CALKINÍ|SAN ANTONIO SAHCABCHÉN|CALKINÍ|TEPAKÁN|1|0|4|1|7|4|3|3|0|0|15|8|1|1|3|2|4|8|0|1|0|0|8|12|0|0|0|1|0|2|3|1|0|0|3|4|1|3|2|5|2|4|1|2|0|0|6|14|3|4|9|9|13|18|7|7|0|0|32|38|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|22|20|18|22|82|2|7|0|0|0|0|0|0|2|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|SECUNDARIA|0|5|5|BACHILLER|1|1|2||0|0|0|1|6|7|9|0|1|0|0|23|0|0|0|0|20|0|0|0|0|7|0|0|0|0|20|0|0|0|0|70|0|0||||0|1|0|0|0|0|1|0|0|0|1|0|0|0|0|0|1|0|0|0|1|3|0|0|0|27/10/2025||
04FEI0003A|5|CONTINUO|RESPONSABLE DE SECTOR NUM 07|04|CAMPECHE|04|CAMPECHE|006|HOPELCHÉN|0001|HOPELCHÉN|URBANO|CUARTEL|0012|NINGUNO|CALLE RIVA PALACIO|38|00000|19.745500|-89.845000|PÚBLICO|FEDERAL TRANSFERIDO|1|INICIAL|1|INICIAL|3|INICIAL NO ESCOLARIZADA|1|SERVICIOS|16|ATENCIÓN A PADRES|||04ADG0001K|0|0|0|0|0|0|0|0|0|0|12|14|26|0|0|0|0|0|0|19|19|38|0|0|0|0|0|0|15|28|43|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|46|61|107|0|0|0|0|0|0|0|107|107|10|0|0|107|10|HOPELCHÉN|BOLONCHÉN DE REJÓN|HOPELCHÉN|HOPELCHÉN|HOPELCHÉN|CRUCERO SAN LUIS|HOPELCHÉN|SUC-TUC|1|3|6|5|4|7|0|0|0|0|11|15|5|9|3|9|10|9|0|0|0|0|18|27|0|3|4|4|6|5|0|0|0|0|10|12|3|2|7|6|4|5|0|0|0|0|14|13|9|17|20|24|24|26|0|0|0|0|53|67|53|67|120|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|25|44|22|29|120|0|2|0|4|0|2|1|1|1|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|SECUNDARIA TERMINADA|0|3|3|BACHILLER TERMINADO|1|3|4||0|0|0|1|6|7|10|0|1|26|0|0|0|0|45|0|0|0|0|22|0|0|0|0|27|0|0|0|0|120|0|0|0|0||||0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|4|0|0|0|14/10/2025||
04FEI0004Z|5|CONTINUO|RESPONSABLE DE SECTOR NUM 02|04|CAMPECHE|04|CAMPECHE|002|CAMPECHE|0001|SAN FRANCISCO DE CAMPECHE|URBANO|MANZANA|0020|CIUDAD CONCORDIA|CALLE SIRIS|8|24085|19.844800|-90.539600|PÚBLICO|FEDERAL TRANSFERIDO|1|INICIAL|1|INICIAL|3|INICIAL NO ESCOLARIZADA|1|SERVICIOS|16|ATENCIÓN A PADRES|||04ADG0001K|0|5|3|8|0|0|0|0|0|0|16|12|28|0|0|0|0|0|0|7|11|18|0|0|0|0|0|0|4|1|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|32|27|59|0|0|0|0|0|0|2|66|68|0|0|7|7|0|CAMPECHE|SAN FRANCISCO DE CAMPECHE|CAMPECHE|HAMPOLOL|CAMPECHE|SAN FRANCISCO KOBÉN|||2|1|7|6|5|3|1|0|0|0|15|10|1|1|8|4|2|6|0|0|0|0|11|11|2|1|1|2|0|2|3|1|0|0|6|6|0|0|0|0|0|0|0|0|0|0|0|0|5|3|16|12|7|11|4|1|0|0|32|27|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27|24|17|0|68|0|3|0|2|0|2|0|0|0|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|4|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|SECUNDARIA|0|2|2||0|0|0||0|0|0|0|2|2|7|0|1|0|0|0|25|0|0|0|0|22|0|0|0|0|12|0|0|0|0|0|0|0|0|0|59|0||||1|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|1|2|0|0|0|17/10/2025||
04FEI0006Y|5|CONTINUO|RESPONSABLE DE SECTOR NUM 16|04|CAMPECHE|04|CAMPECHE|002|CAMPECHE|0001|SAN FRANCISCO DE CAMPECHE|URBANO||0429|DE SANTA LUCIA|AVENIDA GOBERNADORES|136|00000|19.844800|-90.539600|PÚBLICO|FEDERAL TRANSFERIDO|1|INICIAL|1|INICIAL|3|INICIAL NO ESCOLARIZADA|1|SERVICIOS|16|ATENCIÓN A PADRES|||04ADG0001K|0|1|3|4|0|0|0|0|0|0|8|8|16|0|0|0|0|0|0|16|10|26|0|0|0|0|0|0|25|22|47|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|50|43|93|0|0|0|0|0|0|0|93|93|0|0|0|0|93|CAMPECHE|SAN FRANCISCO DE CAMPECHE|CAMPECHE|CASTAMAY|||||0|0|4|5|13|10|16|20|0|0|33|35|0|0|3|1|0|1|2|2|0|0|5|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7|6|13|11|18|22|0|0|38|39|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|71|10|0|0|81|0|7|0|1|0|0|0|0|0|8|0|0|0|0|0|0|0|0|0|0|0|0|0|7|7|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0||0|0|0||0|0|0|0|0|0|8|0|1|68|0|0|0|0|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|77|0|0|0|0||||0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|14/10/2025||
04FEI0007X|5|CONTINUO|RESPONSABLE DE SECTOR NUM 13|04|CAMPECHE|04|CAMPECHE|011|CANDELARIA|0001|CANDELARIA|URBANO|EJIDO|0013|ACALAN|CALLE 2 B|19|00000|18.183500|-91.046300|PÚBLICO|FEDERAL TRANSFERIDO|1|INICIAL|1|INICIAL|3|INICIAL NO ESCOLARIZADA|1|SERVICIOS|16|ATENCIÓN A PADRES|||04ADG0002J|0|8|6|14|0|0|0|0|0|0|16|21|37|0|0|0|0|0|0|17|22|39|0|0|0|0|0|0|18|10|28|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|59|59|118|0|0|0|0|0|0|5|120|125|0|9|118|9|9|CANDELARIA|AKALÁN|CANDELARIA|CANDELARIA|CANDELARIA|LA ALEJANDRÍA|CANDELARIA|VENUSTIANO CARRANZA|1|3|2|2|0|1|3|1|0|0|6|7|3|2|7|12|8|13|4|6|0|0|22|33|0|1|4|5|4|5|6|0|0|0|14|11|5|0|3|2|5|3|4|3|0|0|17|8|9|6|16|21|17|22|17|10|0|0|59|59|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|15|68|15|20|118|1|1|0|4|0|1|1|1|2|7|0|0|0|0|0|0|0|0|0|0|1|1|1|2|3|0|0|0|0|0|0|0|4|4|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0||0|0|0||0|0|0|0|0|0|9|0|1|0|1|12|0|0|0|0|55|0|0|0|0|25|0|0|0|0|25|0|0|0|1|117|0|0||||0|1|0|0|0|1|0|0|0|0|0|1|0|0|0|0|1|0|0|0|1|3|0|0|0|17/10/2025||
04FEI0008W|5|CONTINUO|RESPONSABLE DE SECTOR NUM 09|04|CAMPECHE|04|CAMPECHE|009|ESCÁRCEGA|0001|ESCÁRCEGA|URBANO|VILLA|0037|REVOLUCION|CALLE 51-B|0|00000|18.605587|-90.745289|PÚBLICO|FEDERAL TRANSFERIDO|1|INICIAL|1|INICIAL|3|INICIAL NO ESCOLARIZADA|1|SERVICIOS|16|ATENCIÓN A PADRES|||04ADG0002J|0|11|9|20|0|0|0|0|0|0|9|12|21|0|0|0|0|0|0|8|11|19|0|0|0|0|0|0|3|7|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|31|39|70|0|0|0|0|0|0|0|70|70|0|0|0|0|10|ESCÁRCEGA|MATAMOROS|ESCÁRCEGA|DIVISIÓN DEL NORTE|ESCÁRCEGA|ESCÁRCEGA|ESCÁRCEGA|ESCÁRCEGA|3|3|2|5|3|5|0|3|0|0|8|16|2|1|1|1|2|1|0|0|0|0|5|3|2|2|2|4|2|1|2|1|0|0|8|8|1|2|2|3|1|2|1|1|0|0|5|8|8|8|7|13|8|9|3|5|0|0|26|35|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|24|8|16|13|61|0|2|0|2|0|3|0|3|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|2|0|0|0|0|6|6|0|0|0|0|0|0|0|0|0|0|0|0|Secundaria terminada|0|2|2||0|0|0||0|0|0|0|2|2|10|0|1|24|0|0|0|0|8|0|0|0|0|16|0|0|0|0|13|0|0|0|0|61|0|0|0|0|Centro de salud|||0|0|1|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|3|1|0|0|16/10/2025||
04FEI0009V|5|CONTINUO|RESPONSABLE DE SECTOR NUM 03|04|CAMPECHE|04|CAMPECHE|004|CHAMPOTÓN|0001|CHAMPOTÓN|URBANO||0051|NINGUNO|CALLE 24|20|00000|19.356200|-90.723900|PÚBLICO|FEDERAL TRANSFERIDO|1|INICIAL|1|INICIAL|3|INICIAL NO ESCOLARIZADA|1|SERVICIOS|16|ATENCIÓN A PADRES|||04ADG0001K|0|14|15|29|0|0|0|0|0|0|22|23|45|0|0|0|0|0|0|21|14|35|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|57|52|109|0|0|0|0|0|0|0|111|111|0|0|0|0|10|CHAMPOTÓN|CARRILLO PUERTO|CHAMPOTÓN|SAN PABLO PIXTÚN|CHAMPOTÓN|EL HUANAL|CHAMPOTÓN|CHAMPOTÓN|6|8|2|3|3|0|0|2|0|0|11|13|1|1|2|7|3|5|0|2|0|0|6|15|1|2|5|3|1|1|0|2|0|0|7|8|1|4|4|2|3|3|2|2|0|0|10|11|9|15|13|15|10|9|2|8|0|0|34|47|0|0|0|0|3|3|0|4|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7|7|2|2|1|2|7|0|2|0|2|0|1|0|2|0|7|0|3|3|0|4|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0||0|0|0||0|0|0|0|0|0|7|0|1|0|0|0|24|0|0|0|0|21|0|0|0|0|15|0|0|0|0|21|0|0|0|0|81|0||||1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|4|0|0|0|0|17/10/2025||
04FEI0010K|5|CONTINUO|RESPONSABLE DE SECTOR NUM 05|04|CAMPECHE|04|CAMPECHE|005|HECELCHAKÁN|0001|HECELCHAKÁN|URBANO|CANTÓN|0004|SAN JUAN|CALLE 17|78|24800|20.177000|-90.134500|PÚBLICO|FEDERAL TRANSFERIDO|1|INICIAL|1|INICIAL|3|INICIAL NO ESCOLARIZADA|1|SERVICIOS|16|ATENCIÓN A PADRES|||04ADG0001K|0|29|24|53|0|0|0|0|0|0|25|40|65|0|0|0|0|0|0|15|20|35|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|69|84|153|0|0|0|0|0|0|0|153|153|0|0|0|0|10|HECELCHAKÁN|HECELCHAKÁN|HECELCHAKÁN|DZITNUP|HECELCHAKÁN|POCBOC|HECELCHAKÁN|POMUCH|4|9|5|7|8|5|0|0|0|0|17|21|1|2|2|3|3|9|0|0|0|0|6|14|2|4|5|5|4|2|0|0|0|0|11|11|3|2|1|2|5|7|0|0|0|0|9|11|10|17|13|17|20|23|0|0|0|0|43|57|43|57|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|38|19|22|20|99|0|4|0|2|0|2|0|2|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|SECUNDARIA|0|8|8|BACHILLERATO|0|2|2||0|0|0|0|10|10|10|0|1|0|0|0|38|0|0|0|0|20|0|0|0|0|22|0|0|0|0|20|0|0|0|0|100|0|ComisarÍa|centro de salud||1|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|1|0|1|1|1|1|0|14/10/2025||
04FEI0011J|5|CONTINUO|RESPONSABLE DE SECTOR NUM 14|04|CAMPECHE|04|CAMPECHE|003|CARMEN|0005|NUEVO PROGRESO|URBANO|CIUDAD INDUSTRIAL|0006|NINGUNO|NINGUNO NINGUNO|0|00000|18.622900|-92.289000|PÚBLICO|FEDERAL TRANSFERIDO|1|INICIAL|1|INICIAL|3|INICIAL NO ESCOLARIZADA|1|SERVICIOS|16|ATENCIÓN A PADRES|||04ADG0003I|0|11|13|24|0|0|0|0|0|0|7|12|19|0|0|0|0|0|0|17|14|31|0|0|0|0|0|0|17|8|25|0|0|0|0|0|0|13|10|23|0|0|0|0|0|0|65|57|122|0|0|0|0|0|0|0|122|122|10|0|0|0|10|CARMEN|ATASTA|CARMEN|NUEVO CAMPECHITO|CARMEN|NUEVO PROGRESO|CARMEN|SAN ANTONIO CÁRDENAS|3|4|1|1|3|0|6|5|6|1|19|11|1|2|1|1|0|1|6|2|1|2|9|8|4|6|2|6|14|18|6|2|16|3|42|35|3|3|0|2|4|3|3|7|7|4|17|19|11|15|4|10|21|22|21|16|30|10|87|73|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|30|17|77|36|160|0|2|0|1|0|5|0|2|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|2|0|0|0|0|0|0|0|0|0|0|0|0|SECUNDARIA TERMINADA|0|6|6|BACHILLERATO TERMINADA|0|2|2||0|0|0|0|8|8|10|0|1|0|0|30|0|0|0|0|17|0|0|0|0|77|0|0|0|0|36|0|0|0|0|160|0|0||||0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|4|0|0|0|13/10/2025||
