CV_CCT|CV_TURNO|TURNO|NOMBRECT|CV_ENT_ADMINISTRATIVA|ENT_ADMINISTRATIVA|CV_ENT_INMUEBLE|ENTIDAD_INMUEBLE|CV_MUN|C_NOM_MUN|CV_LOC|C_NOM_LOC|C_NOM_AMBITO|C_NOM_TIPO_ASEN|CV_ASEN|C_NOM_ASEN|C_NOM_VIALIDAD|N_EXTNUM|CV_CODIGO_POSTAL|LATITUD|LONGITUD|CONTROL|SUBCONTROL|CV_SERVICION1|TIPO|CV_SERVICION2|NIVEL|CV_SERVICION3|SUBNIVEL|CV_CARACTERIZAN1|C_CARACTERIZAN1|CV_CARACTERIZAN2|C_CARACTERIZAN2|ZONA|JEFSEC|SERVREG|CV_ESTATUS_CAPTURA|V1|V2|V3|V4|V5|V152|V6|V10|V11|V12|V13|V14|V15|V16|V17|V153|V18|V22|V23|V24|V25|V26|V27|V28|V29|V154|V30|V34|V35|V36|V37|V38|V39|V40|V41|V155|V42|V46|V47|V48|V49|V50|V51|V52|V53|V156|V54|V58|V59|V60|V61|V62|V63|V64|V65|V157|V66|V70|V71|V72|V73|V74|V75|V76|V77|V78|V79|V80|V81|V82|V83|V84|V85|V86|V87|V88|V89|V90|V91|V92|V93|V94|V95|V96|V97|V98|V99|V100|V101|V102|V103|V104|V105|V106|V107|V108|V109|V110|V111|V112|V113|V114|V115|V116|V117|V118|V119|V120|V121|V122|V123|V124|V125|V126|V127|V137|V138|V139|V140|V141|V142|V143|V144|V145|V146|V147|V148|V158|V159|V160|V161|V162|V163|V164|V165|V166|V167|V168|V169|V170|V171|V172|V173|V174|V175|V176|V177|V178|V179|V180|V181|V182|V183|V184|V185|V186|V187|V188|V189|V190|V191|V192|V193|V194|V195|V196|V197|V198|V199|V200|V201|V202|V203|V204|V205|V206|V207|V208|V209|V210|V211|V212|V213|V214|V215|V216|V217|V218|V219|V220|V221|V222|V223|V224|V225|V226|V227|V228|V149|V150|V151|V229|V230|V231|FECHA_ENTREGA|C_OBSERVACION|
04KJN0001L|1|MATUTINO|CURSO COMUNITARIO DE EDUCACION PREESCOLAR|04|CAMPECHE|04|CAMPECHE|001|CALKINÍ|0016|SANTA MARÍA|RURAL|AMPLIACIÓN|0002|NINGUNO|CALLE NINGUNO|0|00000|20.372222|-90.245278|PÚBLICO|FEDERAL|2|BÁSICA|1|PREESCOLAR|2|COMUNITARIO|0|NO APLICA|0|NO APLICA||||0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|1|4|5|0|0|0|0|0|0|0|2|2|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|7|10|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|1|0|3|0|4|0|0|3|4|0|7|0|1|3|7|0|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|7|0|1|1|0|0|0|08/01/2026||
04KJN0003J|1|MATUTINO|CURSO COMUNITARIO DE EDUCACION PREESCOLAR|04|CAMPECHE|04|CAMPECHE|002|CAMPECHE|0316|ADOLFO RUIZ CORTÍNEZ|RURAL|AMPLIACIÓN|0002|NINGUNO|CALLE NINGUNO|0|00000|19.476300|-90.359800|PÚBLICO|FEDERAL|2|BÁSICA|1|PREESCOLAR|2|COMUNITARIO|0|NO APLICA|0|NO APLICA||||0|0|0|0|0|0|0|0|0|0|0|3|0|3|0|0|0|0|0|0|0|3|4|7|0|0|0|0|0|0|0|1|7|8|0|0|0|0|0|0|0|3|0|3|0|0|0|0|0|0|0|10|11|21|0|0|0|0|0|0|0|1|0|0|0|0|0|1|1|5|6|0|0|12|2|0|6|1|0|9|3|5|12|1|0|21|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|12|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|12|9|0|1|1|0|0|0|08/01/2026||
04KJN0004I|1|MATUTINO|CURSO COMUNITARIO DE EDUCACION PREESCOLAR|04|CAMPECHE|04|CAMPECHE|002|CAMPECHE|0072|BOLONCHÉN CAHUICH|RURAL|AMPLIACIÓN|0002|NINGUNO|CALLE BOLONCHEN CAHUICH|0|00000|19.442400|-90.205500|PÚBLICO|FEDERAL|2|BÁSICA|1|PREESCOLAR|2|COMUNITARIO|0|NO APLICA|0|NO APLICA||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|2|0|0|0|0|0|0|0|1|2|3|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|3|3|6|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|2|2|1|0|5|0|1|0|0|0|1|0|3|2|1|0|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|1|0|1|1|0|0|0|08/01/2026||
04KJN0005H|1|MATUTINO|CURSO COMUNITARIO DE EDUCACION PREESCOLAR|04|CAMPECHE|04|CAMPECHE|002|CAMPECHE|0308|EDZNÁ [ZONA ARQUEOLÓGICA]|RURAL|AEROPUERTO|0001|NINGUNO|CALLE UDZAZIL EDZNA O NOYAXCHE|0|00000|19.600200|-90.228300|PÚBLICO|FEDERAL|2|BÁSICA|1|PREESCOLAR|2|COMUNITARIO|0|NO APLICA|0|NO APLICA||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|6|0|0|0|0|0|0|0|2|4|6|0|0|0|0|0|0|0|2|0|2|0|0|0|0|0|0|0|5|9|14|0|0|0|0|0|0|0|1|0|0|0|0|0|1|2|0|1|1|0|4|3|1|3|4|0|11|5|1|4|5|0|15|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|11|0|1|1|0|0|0|08/01/2026||
04KJN0006G|1|MATUTINO|CURSO COMUNITARIO DE EDUCACION PREESCOLAR|04|CAMPECHE|04|CAMPECHE|002|CAMPECHE|0082|HOBOMÓ|RURAL|AMPLIACIÓN|0002|NINGUNO|CALLE HOBOMO|0|00000|19.609000|-90.490500|PÚBLICO|FEDERAL|2|BÁSICA|1|PREESCOLAR|2|COMUNITARIO|0|NO APLICA|0|NO APLICA||||0|0|0|0|0|0|0|0|0|0|0|0|2|2|0|0|0|0|0|0|0|3|2|5|0|0|0|0|0|0|0|2|2|4|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|5|7|12|0|0|0|0|0|0|0|1|0|0|0|0|0|1|1|1|0|3|0|5|1|2|1|1|0|5|2|3|1|4|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|5|0|1|1|0|0|0|08/01/2026||
04KJN0009D|1|MATUTINO|CURSO COMUNITARIO DE EDUCACION PREESCOLAR|04|CAMPECHE|04|CAMPECHE|002|CAMPECHE|0312|KIKAB|RURAL|AMPLIACIÓN|0002|NINGUNO|CALLE NINGUNO|0|00000|19.288889|-90.209167|PÚBLICO|FEDERAL|2|BÁSICA|1|PREESCOLAR|2|COMUNITARIO|0|NO APLICA|0|NO APLICA||||0|0|0|0|0|0|0|0|0|0|0|0|2|2|0|0|0|0|0|0|0|1|5|6|0|0|0|0|0|0|0|9|8|17|0|0|0|0|0|0|0|6|2|8|0|0|0|0|0|0|0|16|17|33|0|0|0|0|0|0|0|1|0|0|0|0|0|1|1|4|3|1|0|9|0|5|7|6|0|18|1|9|10|7|0|27|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9|18|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9|18|0|3|3|0|0|0|08/01/2026||
04KJN0015O|1|MATUTINO|CURSO COMUNITARIO DE EDUCACION PREESCOLAR|04|CAMPECHE|04|CAMPECHE|009|ESCÁRCEGA|0025|BELÉN|RURAL|AMPLIACIÓN|0002|NINGUNO|CALLE BELEN|0|00000|18.573300|-90.576300|PÚBLICO|FEDERAL|2|BÁSICA|1|PREESCOLAR|2|COMUNITARIO|0|NO APLICA|0|NO APLICA||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|3|3|6|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|3|5|8|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|3|0|3|0|0|3|1|0|4|0|0|3|4|0|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|4|0|1|1|0|0|0|08/01/2026||
04KJN0016N|1|MATUTINO|CURSO COMUNITARIO DE EDUCACION PREESCOLAR|04|CAMPECHE|04|CAMPECHE|011|CANDELARIA|0115|CORTE PAJARAL|RURAL|AMPLIACIÓN|0002|NINGUNO|CALLE CORTE DE PAJARAL|0|00000|18.118700|-91.078200|PÚBLICO|FEDERAL|2|BÁSICA|1|PREESCOLAR|2|COMUNITARIO|0|NO APLICA|0|NO APLICA||||0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|2|2|0|0|0|0|0|0|0|3|2|5|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|4|5|9|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|1|3|0|4|0|0|3|0|0|3|0|0|4|3|0|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|3|0|1|1|0|0|0|08/01/2026||
04KJN0019K|1|MATUTINO|CURSO COMUNITARIO DE EDUCACION PREESCOLAR|04|CAMPECHE|04|CAMPECHE|011|CANDELARIA|0198|LA FLORIDA (EL CUATRO)|RURAL|AMPLIACIÓN|0002|NINGUNO|CALLE LA FLORIDA (EL CUATRO)|0|00000|18.082100|-91.015200|PÚBLICO|FEDERAL|2|BÁSICA|1|PREESCOLAR|2|COMUNITARIO|0|NO APLICA|0|NO APLICA||||0|0|0|0|0|0|0|0|0|0|0|2|1|3|0|0|0|0|0|0|0|1|2|3|0|0|0|0|0|0|0|2|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|3|8|0|0|0|0|0|0|0|1|0|0|0|0|0|1|2|2|1|0|0|5|0|1|2|0|0|3|2|3|3|0|0|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|3|0|1|1|0|0|0|08/01/2026||
04KJN0023X|1|MATUTINO|CURSO COMUNITARIO DE EDUCACION PREESCOLAR|04|CAMPECHE|04|CAMPECHE|009|ESCÁRCEGA|0190|EL HUIRO|RURAL|AMPLIACIÓN|0002|NINGUNO|CALLE EL HUIRO|0|00000|18.408800|-90.959200|PÚBLICO|FEDERAL|2|BÁSICA|1|PREESCOLAR|2|COMUNITARIO|0|NO APLICA|0|NO APLICA||||0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|3|1|4|0|0|0|0|0|0|0|4|2|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7|4|11|0|0|0|0|0|0|0|1|0|0|0|0|0|1|1|0|5|2|0|8|0|1|2|1|0|4|1|1|7|3|0|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|4|0|1|1|0|0|0|08/01/2026||
