CV_CCT|CV_TURNO|TURNO|NOMBRECT|CV_ENT_ADMINISTRATIVA|ENT_ADMINISTRATIVA|CV_ENT_INMUEBLE|ENTIDAD_INMUEBLE|CV_MUN|C_NOM_MUN|CV_LOC|C_NOM_LOC|C_NOM_VIALIDAD|N_EXTNUM|CONTROL|SUBCONTROL|CV_SERVICION1|TIPO|CV_SERVICION2|NIVEL|CV_SERVICION3|SUBNIVEL|CV_CARACTERIZAN1|C_CARACTERIZAN1|CV_CARACTERIZAN2|C_CARACTERIZAN2|ZONA|JEFSEC|SERVREG|CV_ESTATUS_CAPTURA|V1|V2|V3|V4|V5|V6|V7|V8|V9|V10|V11|V12|V13|V14|V15|V16|V17|V18|V19|V20|V21|V22|V23|V24|V25|V26|V27|V28|V29|V30|V31|V32|V33|V34|V35|V36|V37|V38|V39|V40|V41|V42|V43|V44|V45|V46|V47|V48|V49|V50|V51|V52|V53|V54|V55|V56|V216|V217|V218|V219|V220|V221|V222|V223|V224|V225|V226|V227|V228|V229|V230|V231|V232|V233|V234|V235|V236|V237|V238|V239|V240|V241|V242|V243|V244|V245|V255|V256|V257|V258|V259|V260|V261|V262|V263|V264|V265|V266|V57|V58|V59|V60|V61|V62|V63|V64|V65|V66|V67|V68|V69|V70|V71|V72|V73|V74|V75|V76|V77|V78|V79|V80|V81|V82|V83|V84|V85|V86|V87|V88|V89|V90|V91|V92|V93|V94|V95|V96|V97|V98|V99|V100|V101|V102|V103|V104|V105|V106|V107|V108|V109|V110|V111|V112|V113|V114|V115|V116|V117|V118|V119|V120|V121|V122|V123|V124|V125|V126|V127|V128|V129|V130|V131|V132|V133|V134|V135|V136|V137|V138|V139|V140|V141|V142|V143|V144|V145|V146|V147|V148|V149|V150|V151|V152|V153|V154|V155|V156|V157|V158|V159|V160|V161|V162|V163|V164|V165|V166|E167|V168|V169|V170|V171|V172|V173|V174|V175|V176|V177|E178|V179|V180|V181|V182|V183|V184|V185|V186|V187|V188|E189|V190|V191|V192|V193|V194|V195|V196|V197|V198|V199|V200|V201|V202|V203|V204|V205|V206|V207|V208|V209|V210|V211|V212|V213|V214|V215|FECHA_ENTREGA|C_OBSERVACION|
06DBT0034T|4|DISCONTINUO|CENTRO DE CAPACITACION PARA EL TRABAJO INDUSTRIAL NUM. 34|06|COLIMA|06|COLIMA|007|MANZANILLO|0001|MANZANILLO|CAMINO HACIA LAS HUMEDADES|0|PÚBLICO|FEDERAL|5|CAPACITACIÓN|1|FORMACIÓN PARA EL TRABAJO|1|FORMACIÓN PARA EL TRABAJO|0|NO APLICA|0|NO APLICA||||4|6|23|0|33|9|22|21|18|8|9|120|0|30|7|22|19|17|7|9|111|0|28|7|22|19|17|7|9|109|0|11|2|15|6|11|1|2|48|0|10|2|12|5|10|1|2|42|0|10|2|12|5|9|1|2|41|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|1|0|0|0|0|0|0|0|0|4|3|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|3|8|1|0|0|2|2|0|0|0|0|1|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0|0|0|1|3|10|1|0|0|8|8|31|0|1|10|0|11|27/10/2025||
06DBT0036R|4|DISCONTINUO|CENTRO DE CAPACITACION PARA EL TRABAJO INDUSTRIAL NUM. 126|06|COLIMA|06|COLIMA|001|ARMERÍA|0001|CIUDAD DE ARMERÍA|AVENIDA OAXACA|142|PÚBLICO|FEDERAL|5|CAPACITACIÓN|1|FORMACIÓN PARA EL TRABAJO|1|FORMACIÓN PARA EL TRABAJO|0|NO APLICA|0|NO APLICA||||4|2|5|0|6|1|0|0|1|1|0|9|0|6|1|0|0|1|1|0|9|0|6|1|0|0|1|1|0|9|0|3|0|1|0|1|0|0|5|0|2|0|0|0|1|0|0|3|0|1|0|0|0|1|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|0|0|1|3|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0|0|0|2|1|3|1|0|0|5|7|19|0|0|2|2|4|27/10/2025|Se informa que, con motivo de las reparaciones realizadas en los edificios y talleres que resultaron dañados durante el sismo del 19 de septiembre de 2022, a partir del 16 de mayo del presente año aún existen diversos trabajos pendientes por concluir. Cabe señalar que el personal encargado de dichas labores ya no se encuentra laborando en el plantel.Los pendientes identificados son los siguientes:Módulo 2. Taller de Refrigeración y Aire Acondicionado: Falta la colocación de ventanales de aluminio en los muros laterales bajo ventana.Módulo 1. Mantenimiento Electromecánico del Automóvil: Falta la colocación de nuevos ventanales de aluminio en el muro bajo ventana que presentó un desprendimiento considerable.Módulo de Almacén: Pendiente el detallado y acabado de la barda.Módulo de Archivo: Pendiente la instalación del tablero eléctrico y sus respectivas conexiones.Módulo 2. Taller de Refrigeración y Aire Acondicionado: Falta la colocación de la puerta, ya que tanto el marco como la hoja se encuentran descuadrados.Varias Áreas: Pendiente la recolección de materiales y escombros en diferentes zonas donde se realizaron trabajos.|
06DBT0145Y|4|DISCONTINUO|CENTRO DE CAPACITACION PARA EL TRABAJO INDUSTRIAL NUM. 145|06|COLIMA|06|COLIMA|002|COLIMA|0001|COLIMA|AVENIDA COLIMA|228|PÚBLICO|FEDERAL|5|CAPACITACIÓN|1|FORMACIÓN PARA EL TRABAJO|1|FORMACIÓN PARA EL TRABAJO|0|NO APLICA|0|NO APLICA||||4|6|31|0|28|13|7|12|5|2|2|69|0|28|13|7|12|5|2|2|69|0|25|13|6|9|5|1|2|61|0|22|10|3|13|19|9|0|76|0|22|10|3|13|19|9|0|76|0|19|10|2|10|17|8|0|66|0|0|0|3|1|4|0|0|0|0|0|0|0|0|0|2|1|3|1|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6|3|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|1|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|7|1|0|0|1|6|0|0|0|0|2|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0|0|0|0|2|10|5|0|0|3|9|29|0|3|12|0|15|20/10/2025|EL TOTAL DE GRUPOS DURANTE EL CICLO ESCOLAR 2024-2025 SON 25, LA DIFERENCIA QUE SE OBSERVA ES PORQUE LOS 6 GRUPOS EXTRAS SON CONSIDERADOS COMO INSCRIPCIONES INDIVIDUALES POR (EXAMEN ROCO).|
06DBT0183A|4|DISCONTINUO|CENTRO DE CAPACITACION PARA EL TRABAJO INDUSTRIAL NUM. 183|06|COLIMA|06|COLIMA|002|COLIMA|0001|COLIMA|CALLE AQUILES SERDÁN|0|PÚBLICO|FEDERAL|5|CAPACITACIÓN|1|FORMACIÓN PARA EL TRABAJO|1|FORMACIÓN PARA EL TRABAJO|0|NO APLICA|0|NO APLICA||||4|2|16|0|12|2|12|12|10|5|1|54|0|11|2|12|12|10|4|1|52|0|11|2|12|12|10|4|1|52|0|13|13|13|11|5|16|2|73|0|12|13|10|11|4|13|2|65|0|12|13|10|11|4|13|2|65|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|0|0|5|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0|0|0|3|0|1|5|0|0|8|6|23|0|0|0|6|6|26/10/2025||
06EBT0001A|2|VESPERTINO|CRISTINA CONTRERAS VILLANUEVA|06|COLIMA|06|COLIMA|009|TECOMÁN|0001|TECOMÁN|CALLE RIO UZUMACINTA|0|PÚBLICO|ESTATAL|5|CAPACITACIÓN|1|FORMACIÓN PARA EL TRABAJO|1|FORMACIÓN PARA EL TRABAJO|0|NO APLICA|0|NO APLICA||||3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|04/11/2025||
06EBT0004Y|2|VESPERTINO|JUANA PAMPLONA|06|COLIMA|06|COLIMA|005|CUAUHTÉMOC|0014|OCOTILLO|CALLE CONSTITUCION|0|PÚBLICO|ESTATAL|5|CAPACITACIÓN|1|FORMACIÓN PARA EL TRABAJO|1|FORMACIÓN PARA EL TRABAJO|0|NO APLICA|0|NO APLICA||||4|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|2|1|0|5|0|0|0|2|0|2|1|0|5|0|0|0|2|0|2|1|0|5|0|0|0|0|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|1|1|29/10/2025||
06EBT0008U|2|VESPERTINO|GUADALUPE BARRETO AGUILAR|06|COLIMA|06|COLIMA|009|TECOMÁN|0001|TECOMÁN|ANDADOR J. CRUZ GONZALEZ|18|PÚBLICO|ESTATAL|5|CAPACITACIÓN|1|FORMACIÓN PARA EL TRABAJO|1|FORMACIÓN PARA EL TRABAJO|0|NO APLICA|0|NO APLICA||||4|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|1|1|1|0|5|2|0|0|0|1|1|1|0|5|2|0|0|0|1|1|1|0|5|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|1|1|22/10/2025|SE CAMBIO DE DIRECTORA ANTERIOR MARGARITA FAJARDO MENDEZ ENSU LUGAR MA. DEL SOCORRO CAMACHO OCHOA|
06EBT0009T|2|VESPERTINO|CATALINA FUENTES GONZALEZ|06|COLIMA|06|COLIMA|010|VILLA DE ÁLVAREZ|0001|CIUDAD DE VILLA DE ÁLVAREZ|CALLE REPUBLICA MEXICANA|0|PÚBLICO|ESTATAL|5|CAPACITACIÓN|1|FORMACIÓN PARA EL TRABAJO|1|FORMACIÓN PARA EL TRABAJO|0|NO APLICA|0|NO APLICA||||4|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|5|8|5|2|22|0|0|0|2|5|8|5|2|22|0|0|0|2|5|8|5|2|22|0|0|0|0|5|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|2|0|0|0|0|3|0|0|0|3|3|22/10/2025|SE HIZO CAMBIO DE DIRE/ENC. ESTABA MARGARITA VELAZQUEZ MURGUÍA, SE CAMBIO POR, CARMEN PATRICIA RODRIGUEZ PULIDO.|
06EBT0010I|2|VESPERTINO|SOFIA BAILON LOPEZ|06|COLIMA|06|COLIMA|001|ARMERÍA|0001|CIUDAD DE ARMERÍA|CALLE JALISCO|16|PÚBLICO|ESTATAL|5|CAPACITACIÓN|1|FORMACIÓN PARA EL TRABAJO|1|FORMACIÓN PARA EL TRABAJO|0|NO APLICA|0|NO APLICA||||4|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|3|2|3|7|16|0|0|0|1|3|2|3|7|16|0|0|0|1|3|2|3|7|16|0|0|0|0|4|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|1|1|22/10/2025|CAMBIO DE DIRECTORA ANTES MARGARITA FAJARDO MENDEZ EN SU LUGAR ELVA IZBETH ACOSTA CALLEROS.|
06EBT0012G|2|VESPERTINO|FRANCISCA TORRES BUENO|06|COLIMA|06|COLIMA|009|TECOMÁN|0025|CERRO DE ORTEGA|CALLE GOMEZ FARIAS|450|PÚBLICO|ESTATAL|5|CAPACITACIÓN|1|FORMACIÓN PARA EL TRABAJO|1|FORMACIÓN PARA EL TRABAJO|0|NO APLICA|0|NO APLICA||||4|1|1|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|1|1|1|0|0|1|1|3|0|3|9|1|0|0|1|1|3|0|3|9|1|0|0|1|1|3|0|3|9|0|0|0|1|3|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|3|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|1|1|22/10/2025|SE CAMBIO DE DIRECTORA ANTERIOR ROSA ELVA CALLEROS ANGUIANO ENSU LUGAR NORMA LETICIA MENDEZ VAZQUEZ|
